Date,Average Price
01-Jan-2018,430.49
02-Jan-2018,433.41
03-Jan-2018,435.06
04-Jan-2018,429.56
05-Jan-2018,432.92
08-Jan-2018,433.92
09-Jan-2018,438.96
10-Jan-2018,434.76
11-Jan-2018,435.64
12-Jan-2018,437.06
15-Jan-2018,435.46
16-Jan-2018,424.97
17-Jan-2018,417.36
18-Jan-2018,421.97
19-Jan-2018,417.77
22-Jan-2018,421.87
23-Jan-2018,418.29
24-Jan-2018,407.63
25-Jan-2018,401.91
29-Jan-2018,402.45
30-Jan-2018,398.6
31-Jan-2018,398.56
01-Feb-2018,398.23
02-Feb-2018,388.53
05-Feb-2018,392.17
06-Feb-2018,371.36
07-Feb-2018,380.7
08-Feb-2018,375.93
09-Feb-2018,370.1
12-Feb-2018,372.75
14-Feb-2018,376.19
15-Feb-2018,379.06
16-Feb-2018,372.75
19-Feb-2018,368.36
20-Feb-2018,368.87
21-Feb-2018,365.24
22-Feb-2018,359.42
23-Feb-2018,361.51
26-Feb-2018,370.38
27-Feb-2018,372.91
28-Feb-2018,370.48
01-Mar-2018,373.1
05-Mar-2018,356.11
06-Mar-2018,352.13
07-Mar-2018,349.95
08-Mar-2018,344.99
09-Mar-2018,344.31
12-Mar-2018,347.02
13-Mar-2018,353.74
14-Mar-2018,352.08
15-Mar-2018,354.11
16-Mar-2018,342.61
19-Mar-2018,336.72
20-Mar-2018,338.06
21-Mar-2018,336.63
22-Mar-2018,338
23-Mar-2018,331.82
26-Mar-2018,328.75
27-Mar-2018,332.81
28-Mar-2018,329.45
02-Apr-2018,336.42
03-Apr-2018,342.11
04-Apr-2018,358.29
05-Apr-2018,366.9
06-Apr-2018,363.14
09-Apr-2018,361.3
10-Apr-2018,355.17
11-Apr-2018,354.01
12-Apr-2018,360.01
13-Apr-2018,357.29
16-Apr-2018,342.36
17-Apr-2018,337.47
18-Apr-2018,336.81
19-Apr-2018,334.57
20-Apr-2018,338.84
23-Apr-2018,336
24-Apr-2018,332.74
25-Apr-2018,330.35
26-Apr-2018,331.15
27-Apr-2018,334.51
30-Apr-2018,340.3
02-May-2018,342.87
03-May-2018,332
04-May-2018,333.16
07-May-2018,335.37
08-May-2018,332.16
09-May-2018,341.7
10-May-2018,336.7
11-May-2018,331.68
14-May-2018,325.7
15-May-2018,314.99
16-May-2018,311.2
17-May-2018,315.25
18-May-2018,307.11
21-May-2018,299.21
22-May-2018,304.99
23-May-2018,312.24
24-May-2018,291.35
25-May-2018,293.25
28-May-2018,296.61
29-May-2018,297.75
30-May-2018,289.91
31-May-2018,284.1
01-Jun-2018,287.77
04-Jun-2018,289.54
05-Jun-2018,285.35
06-Jun-2018,292.06
07-Jun-2018,301.28
08-Jun-2018,311.33
11-Jun-2018,310.9
12-Jun-2018,310.51
13-Jun-2018,309.31
14-Jun-2018,305.76
15-Jun-2018,303.97
18-Jun-2018,307.93
19-Jun-2018,307.64
20-Jun-2018,305.96
21-Jun-2018,306.97
22-Jun-2018,306.75
25-Jun-2018,295.25
26-Jun-2018,279.88
27-Jun-2018,274.66
28-Jun-2018,266.95
29-Jun-2018,267.52
02-Jul-2018,269.57
03-Jul-2018,269.65
04-Jul-2018,267.98
05-Jul-2018,259.45
06-Jul-2018,270.22
09-Jul-2018,274.78
10-Jul-2018,275.2
11-Jul-2018,270.35
12-Jul-2018,268.3
13-Jul-2018,265.9
16-Jul-2018,255.63
17-Jul-2018,256.55
18-Jul-2018,252.61
19-Jul-2018,254.54
20-Jul-2018,252.74
23-Jul-2018,255.87
24-Jul-2018,260.21
25-Jul-2018,258.49
26-Jul-2018,260.04
27-Jul-2018,266.19
30-Jul-2018,269.2
31-Jul-2018,264.96
01-Aug-2018,260.06
02-Aug-2018,262.61
03-Aug-2018,260.96
06-Aug-2018,257.56
07-Aug-2018,253.14
08-Aug-2018,255.37
09-Aug-2018,258.39
10-Aug-2018,252.57
13-Aug-2018,247.37
14-Aug-2018,248.55
16-Aug-2018,250.19
17-Aug-2018,256.76
20-Aug-2018,267.63
21-Aug-2018,271.73
23-Aug-2018,260.16
24-Aug-2018,256.79
27-Aug-2018,258.25
28-Aug-2018,261.14
29-Aug-2018,262.36
30-Aug-2018,260.38
31-Aug-2018,264.41
03-Sep-2018,269.2
04-Sep-2018,265.69
05-Sep-2018,262
06-Sep-2018,268.39
07-Sep-2018,276.39
10-Sep-2018,277.42
11-Sep-2018,272.84
12-Sep-2018,262.05
14-Sep-2018,266.66
17-Sep-2018,262.12
18-Sep-2018,255.4
19-Sep-2018,253.1
21-Sep-2018,249.89
24-Sep-2018,244.4
25-Sep-2018,239.95
26-Sep-2018,233.88
27-Sep-2018,228.36
28-Sep-2018,225.65
01-Oct-2018,225.4
03-Oct-2018,229.17
04-Oct-2018,225.61
05-Oct-2018,220.81
08-Oct-2018,213.94
09-Oct-2018,184.41
10-Oct-2018,187.99
11-Oct-2018,184.57
12-Oct-2018,185.15
15-Oct-2018,184.31
16-Oct-2018,186.03
17-Oct-2018,183.08
19-Oct-2018,176.27
22-Oct-2018,172.31
23-Oct-2018,172.77
24-Oct-2018,171.03
25-Oct-2018,166.6
26-Oct-2018,169.7
29-Oct-2018,173.61
30-Oct-2018,178.54
31-Oct-2018,176.38
01-Nov-2018,181.98
02-Nov-2018,187.76
05-Nov-2018,188.77
06-Nov-2018,196.39
07-Nov-2018,194.83
09-Nov-2018,196.87
12-Nov-2018,188.69
13-Nov-2018,180.43
14-Nov-2018,179.43
15-Nov-2018,180.8
16-Nov-2018,179.69
19-Nov-2018,183.12
20-Nov-2018,185.37
21-Nov-2018,184.81
22-Nov-2018,183.51
26-Nov-2018,180.01
27-Nov-2018,181.38
28-Nov-2018,176.36
29-Nov-2018,177.12
30-Nov-2018,172.62
03-Dec-2018,174.24
04-Dec-2018,176.89
05-Dec-2018,170.64
06-Dec-2018,164.8
07-Dec-2018,162.52
10-Dec-2018,158.32
11-Dec-2018,157.35
12-Dec-2018,163.59
13-Dec-2018,166.88
14-Dec-2018,166.97
17-Dec-2018,173.61
18-Dec-2018,174.91
19-Dec-2018,174.36
20-Dec-2018,175
21-Dec-2018,178.14
24-Dec-2018,175.4
26-Dec-2018,169.98
27-Dec-2018,169.87
28-Dec-2018,171.15
31-Dec-2018,172.8
01-Jan-2019,172.71
